Type,TC ID,Name / Title,Preconditions,Steps to be executed,Test Data,Expected results,Actual Results,Priority,Status,Requirement Traceability,Bugs Traceability,Test Type
GUI,FACEBOOK_ADDPOST_GUI_001,Check to ensure that there are labels and controls on all input fields and have good alignmet,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",_,The labes and controls are presented on good way.,The labes and controls are presented on good way.,High,Pass,FR1:Add Post,,Manual
GUI,FACEBOOK_ADDPOST_GUI_002,Check the positioning of GUI elements for different screen resolution.,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",_,"Good user experience on the screen, with sizeable and obvious buttons.","Good user experience on the screen, with sizeable and obvious buttons.",High,Pass,FR1:Add Post,,Manual
GUI,FACEBOOK_ADDPOST_GUI_003,The fields and icons should be alligned in a good way,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",_,The fields and icons need to be aligned properly.,The fields and icons need to be aligned properly.,High,Pass,FR1:Add Post,,Manual
GUI,FACEBOOK_ADDPOST_GUI_004,Verify the color of the misspelt word with a red underline.,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",_,underline missspelling word with red line,underline missspelling word with red line,medium,Pass,FR1:Add Post,,Manual
GUI,FACEBOOK_ADDPOST_GUI_005,Check for Clear demarcation of different sections on screen,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",_,Clear demarcation of different sections on screen,Clear demarcation of different sections on screen,medium,Pass,FR1:Add Post,,Manual
GUI,FACEBOOK_ADDPOST_GUI_006,Check Font used in an application is readable,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",_,Readable Font ,Readable Font ,High,Pass,FR1:Add Post,,Manual
GUI,FACEBOOK_ADDPOST_GUI_007,Verify the Screen contains Meaninful Icons,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",_,meaningful Icons,meaningful Icons,High,Pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_008,Verify adding a post without photo or video,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",Hallo my name is mostafa labib,the written post successfully posted ,the written post successfully posted ,High,pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_009,Verify adding a post with single photo ,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",Hallo my name is mostafa labib+image,the written post successfully posted and test image successfully posted,the written post successfully posted and test image successfully posted,High,pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_010,Verify adding a post with single video ,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",Hallo my name is mostafa labib + single video,the written post successfully posted and test video successfully posted ,the written post successfully posted and test video successfully posted ,High,pass,FR1:Add Post,,Manual
