Type,TC ID,Name / Title,Preconditions,Steps to be executed,Test Data,Expected results,Actual Results,Priority,Status,Requirement Traceability,Bugs Traceability,Test Type
GUI,FACEBOOK_ADD_Story_GUI_001,Check to ensure that there are labels and controls on all input fields and have good alignmet,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Go to the field of adding story
",-,The labes and controls are presented on good way.,The labes and controls are presented on good way.,High,Pass,FR 2: Add Story,,Manual
GUI,FACEBOOK_ADD_Story_GUI_002,Check the positioning of GUI elements for different screen resolution.,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Go to the field of adding story
",_,"Good user experience on the screen, with sizeable and obvious buttons.","Good user experience on the screen, with sizeable and obvious buttons.",High,Pass,FR 2: Add Story,,Manual
GUI,FACEBOOK_ADD_Story_GUI_003,The fields and icons should be alligned in a good way,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Go to the field of adding story
",_,The fields and icons need to be aligned properly.,The fields and icons need to be aligned properly.,High,Pass,FR 2: Add Story,,Manual
GUI,FACEBOOK_ADD_Story_GUI_004,Verify the color of the misspelt word with a red underline.,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Go to the field of adding story
",_,underline missspelling word with red line,underline missspelling word with red line,Medium,Pass,FR 2: Add Story,,Manual
GUI,FACEBOOK_ADD_Story_GUI_005,Check for Clear demarcation of different sections on screen,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Go to the field of adding story
",_,Clear demarcation of different sections on screen,Clear demarcation of different sections on screen,Medium,Pass,FR 2: Add Story,,Manual
GUI,FACEBOOK_ADD_Story_GUI_006,Check Font used in an application is readable,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Go to the field of adding story
",_,Readable Font ,Readable Font ,High,Pass,FR 2: Add Story,,Manual
GUI,FACEBOOK_ADD_Story_GUI_007,Verify the Screen contains Meaninful Icons,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Go to the field of adding story
",_,meaningful Icons,meaningful Icons,High,Pass,FR 2: Add Story,,Manual
GUI,FACEBOOK_ADD_Story_GUI_008,"Verify that the fonts, text color, and color coding in the Add Story screen is per standard","1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Go to the field of adding story
",-,"The fonts, text color, and color coding in the Add Story screen is per standard","The fonts, text color, and color coding in the Add Story screen is per standard",High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_009,Verify creating Text Story ,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1.Tap on Create new Story
2.Write Story's text
3.Tap on share Story","""Hallo this my first Facebook's story""",Story shared Successfully,Story shared Successfully,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_010,Verify changing Text Story Font,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1.Tap on Create new Story
2.Write Story's text
3.change Story's Font
3.Tap on share Story","""Hallo this my first Facebook's story""",Story shared Successfully with changed Font,Story shared Successfully with changed Font,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_011,Verify adding Text Story backgroud.,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1.Tap on Create new Story
2.Write Story's text
3.Tap backgroun 
4.Change background
5.Tap on share Story","""Hallo this my first Facebook's story""",Story shared Successfully with changed Background,Story shared Successfully with changed Background,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_012,Verify changing Text Story privacy public,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1.Tap on Create new Story
2.Tap on Settings Icon
3.change privacy to Public
4.Write Story's text
5.Tap on share Story","""Hallo this my first Facebook's story""",Story shared Successfully and can see in public way,Story shared Successfully and can see in public way,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_013,Verify changing Text Story privacy Friends,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1.Tap on Create new Story
2.Tap on Settings Icon
3.change privacy to only Friends
4.Write Story's text
5.Tap on share Story","""Hallo this my first Facebook's story""",Story shared Successfully and only Friends can see it,Story shared Successfully and only Friends can see it,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_014,Verify changing Text Story privacy Custom,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1.Tap on Create new Story
2.Tap on Settings Icon
3.change privacy to custom
4.Write Story's text
5.Tap on share Story","""Hallo this my first Facebook's story""",Story shared Successfully and only selected people can see it,Story shared Successfully and only selected people can see it,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_015,Verify commenting on Text story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1.Tap on Create  Story
2.Tap on Comment Field 
3.write comment",_,Comment submited Successfully to Story's owner,Comment submited Successfully to Story's owner,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_016,Verify sharing Text story to instagaram,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Write Text  to share
3- Tap on Privacy
4- Enable Alwayes Share to Instagram
5- Tap on Share","""Hallo this my first Facebook's story""",The shared story on Facebook is also shared as a story on Instagram,The shared story on Facebook is also shared as a story on Instagram,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_017,verify viewing list of muted stroies ,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Tap settings icon
3.Tap Stories you've muted",_,Mute List is Available,Mute List is Available,Medium,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_018,verify adding Music story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Tap music Stroy
3.Search by music","""Song name or singer name""",Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_019,verify adding Green Screen Story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Tap Green screen stroy
3.Tap share Story",Test image,Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_020,verify adding Boomerang Story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Tap Boomerang stroy
3.Tap share Story",Test image,Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_021,verify adding photo Story from gallery,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Tap Gallary icon 
3.Tap share Story",Test image,Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_022,Verify adding vedio from gallery,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Tap Gallery icon 
3.Tap share Story",Test image,Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_023,verify adding video captured by camera,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Capture image 
3.Tap share Story",Test vedio,Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_024,verify adding video with effects,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Tap Gallery icon
3.apply effects
4.Tap share Story",Test vedio,Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_025,verify selecting multiple photos story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Tap Gallery icon
3.select multiple photos
4.Tap share Story",multiple photos,Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_026,Verify selecting multiple videos story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2.Tap Gallery icon
3.select multiple videos
4.Tap share Story",multiple Vedios,Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
